"Story","Title","Result","Date","Stability","Duration (s)"
"Find jobs based on jobtitle, keywords or company name","Find a job and apply filters","SKIPPED","2016-05-10T13:19:25.491+10:00","0.0","34.92"
"Use the Like functionality to stay in touch","Like to stay in touch","SUCCESS","2016-05-10T13:20:09.872+10:00","0.0","211.22"
"Search by keyword","Search for many company , jobs etc.. by keyword","SUCCESS","2016-05-10T13:24:16.554+10:00","0.0","77.88"
"Search by keyword","Search for people by names","SUCCESS","2016-05-10T13:23:44.345+10:00","0.0","29.53"
